"","Alias","HI_Indiv","Mom","Sex","BirthYear","Demons_HI_forage","HI_Order_acquisition"
"1","BEGR",1,NA,"Male","1980","no",0
"2","BOOT",0,NA,"Female",NA,"no",NA
"3","BOXR",0,NA,"Female",NA,"no",NA
"4","C596",1,"FB59","Male","1998","no",13
"5","C834",1,"FB83","Male","1992","no",17
"6","C835",1,"FB83","Male","1998","no",16
"7","C991",1,"FB99","Female","1994","no",15
"8","CWM3",0,"WTMA","Female","1991","no",NA
"9","DRSN",1,NA,"Female",NA,"no",14
"10","F102",0,"F105","Male","1980","no",NA
"11","F106",1,"F191","Male","1981","no",12
"12","F108",1,NA,"Male","1978","no",15
"13","F109",1,"FB79","Female","1995","no",5
"14","F110",0,NA,"Male","1984","no",NA
"15","F113",0,"FB90","Female","1996","no",18
"16","F114",0,NA,"Male","1988","no",NA
"17","F118",1,"FB54","Male","1992","no",3
"18","F123",0,"FB15","Female","1998","no",NA
"19","F125",1,"F119","Female","1998","no",8
"20","F127",0,"FB13","Female","1995","no",NA
"21","F128",1,"F153","Male","1992","no",4
"22","F131",0,"FB59","Female","1988","no",NA
"23","F133",1,"FB90","Female","1999","no",15
"24","F134",0,NA,"Male","1982","no",NA
"25","F135",1,"FB54","Female","2000","no",8
"26","F137",1,"F157","Female","2000","no",19
"27","F138",1,"FB63","Male","1992","no",10
"28","F141",0,NA,"Female","1990","no",NA
"29","F142",1,NA,"Male","1992","no",5
"30","F146",1,"FB11","Male","1996","no",19
"31","F148",1,"FB54","Male","1996","no",13
"32","F149",1,NA,"Female","1981","no",20
"33","F151",0,"F141","Female","2000","no",NA
"34","F153",1,NA,"Female","1953","no",19
"35","F154",0,NA,"Male","1963","no",NA
"36","F155",1,"FB05","Female","1990","no",0
"37","F157",0,NA,"Female","<1988","no",NA
"38","F159",1,"F131","Female","1996","no",18
"39","F162",1,NA,"Male","1981","no",12
"40","F164",1,"F161","Male","1989","no",20
"41","F165",1,"FB75","Female","1999","no",17
"42","F167",0,NA,"Female","1989","no",NA
"43","F175",1,"FB75","Female","1991","no",3
"44","F176",1,NA,"Male","1993","no",19
"45","F178",1,"FB09","Male","1995","no",2
"46","F180",0,NA,"Male","1988","no",NA
"47","F181",0,NA,"Female","1975","no",NA
"48","F182",0,"F183","Male","1987","no",NA
"49","F188",1,"FB33","Male","1996","no",14
"50","F190",1,"F181","Male","1996","no",14
"51","F194",1,NA,"Male","1974","no",5
"52","F196",1,"F101","Male","1998","no",8
"53","F198",1,"FB25","Male","1996","no",14
"54","F203",1,"F149","Female","2000","no",13
"55","F215",0,"FB99","Female","2000","no",NA
"56","F218",1,"FB55","Male","1999","no",12
"57","F219",1,"49LA","Female","1995","no",12
"58","F220",1,"FB07","Male","1999","no",11
"59","F222",1,"F131","Male","1999","no",11
"60","F228",1,"FB65","Male","1999","no",13
"61","F236",1,NA,"Male","1994","no",17
"62","F237",0,NA,"Female","1982","no",NA
"63","F248",1,"SBDO","Male","1998","no",12
"64","F258",1,NA,"Male","1993","no",8
"65","F268",0,NA,"Male","1993","no",NA
"66","F276",1,"FB35","Male","1992","no",12
"67","FB02",1,"FB59","Male","1991","no",8
"68","FB05",1,NA,"Female","1963","no",15
"69","FB07",1,"FB84","Female","1984","yes",0
"70","FB09",1,"FB63","Female","1984","no",2
"71","FB10",0,"FB63","Male","1981","no",NA
"72","FB11",1,"FB19","Female","1984","no",20
"73","FB13",0,NA,"Female","1959","no",NA
"74","FB15",1,NA,"Female","1950","no",19
"75","FB20",1,"F111","Male","1989","no",11
"76","FB25",0,NA,"Female","1978","no",NA
"77","FB27",1,NA,"Female","1978","no",2
"78","FB28",1,NA,"Male","1965","no",13
"79","FB33",1,"FB51","Female","1982","no",19
"80","FB35",1,NA,"Female","1956","no",12
"81","FB36",0,NA,"Male","1972","no",NA
"82","FB43",1,NA,"Female","1966","no",14
"83","FB44",1,NA,"Male","1973","no",12
"84","FB48",0,NA,"Male","1959","no",NA
"85","FB54",1,NA,"Female","1971","no",8
"86","FB55",1,"FB05","Female","1986","no",NA
"87","FB63",1,NA,"Female","1954","no",14
"88","FB65",1,"FB67","Female","1983","no",2
"89","FB66",1,NA,"Male","1976","no",13
"90","FB78",1,NA,"Male","1972","no",11
"91","FB79",1,NA,"Female","1979","no",7
"92","FB87",1,NA,"Female","1977","no",15
"93","FB90",1,NA,"Female","1970","no",20
"94","FB92",1,"FB84","Male","1988","no",2
"95","FB93",1,"FB35","Female","1985","no",0
"96","HAIR",0,NA,"Female",NA,"no",NA
"97","HBMB",0,NA,"Female",NA,"no",NA
"98","HIQQ",0,NA,"Male",NA,"no",NA
"99","IKN2",1,"IKNO","Male","1997","no",12
"100","JOSC",1,"JOSE","Male","1997","no",16
"101","LDMA",0,NA,"Female",NA,"no",NA
"102","LIZD",0,"SHTC","Female",NA,"no",NA
"103","LNPC",0,"LNPF","Female","<1997","no",NA
"104","LNPF",0,NA,"Female",NA,"no",NA
"105","M145",1,NA,"Female",NA,"no",13
"106","MPTB",1,NA,"Male",NA,"no",19
"107","PNBT",0,NA,"Female",NA,"no",NA
"108","PSDQ",0,NA,"Female",NA,"no",NA
"109","RTMW",0,NA,"Female",NA,"no",NA
"110","RY34",1,NA,"Male",NA,"no",18
"111","SOLB",0,NA,"Male",NA,"no",NA
"112","TCTV",0,NA,"Female",NA,"no",NA
"113","TDTL",0,NA,"Female",NA,"no",NA
"114","TSMV",0,NA,"Female",NA,"no",NA
"115","VSTH",0,NA,"Female",NA,"no",NA
"116","WHOO",0,NA,"Male",NA,"no",NA
"117","ZELD",0,NA,"Female",NA,"no",NA
